H1,mapping
alb,alb
are,are
arg,arg
arm,arm
aus,aus
aut,aut
aze,aze
bel,bel
ben,ben
bfa,bfa
bgd,bgd
bgr,bgr
bhr,bhr
blr,blr
bol,bol
bra,bra
brn,brn
bwa,bwa
can,can
che,che
chl,chl
chn,chn
civ,civ
cmr,cmr
col,col
cri,cri
cyp,cyp
cze,cze
deu,deu
dnk,dnk
dom,dom
ecu,ecu
egy,egy
esp,esp
est,est
eth,eth
fin,fin
fra,fra
gbr,gbr
geo,geo
gha,gha
gin,gin
grc,grc
gtm,gtm
hkg,hkg
hnd,hnd
hrv,hrv
hun,hun
idn,idn
ind,ind
irl,irl
irn,irn
isr,isr
ita,ita
jam,jam
jor,jor
jpn,jpn
kaz,kaz
ken,ken
kgz,kgz
khm,khm
kor,kor
kwt,kwt
lao,lao
lka,lka
ltu,ltu
lux,lux
lva,lva
mar,mar
mdg,mdg
mex,mex
mlt,mlt
mng,mng
moz,moz
mus,mus
mwi,mwi
mys,mys
nam,nam
nga,nga
nic,nic
nld,nld
nor,nor
npl,npl
nzl,nzl
omn,omn
pak,pak
pan,pan
per,per
phl,phl
pol,pol
pri,pri
prt,prt
pry,pry
qat,qat
rou,rou
rus,rus
rwa,rwa
sau,sau
sen,sen
sgp,sgp
slv,slv
svk,svk
svn,svn
swe,swe
tgo,tgo
tha,tha
tjk,tjk
tto,tto
tun,tun
tur,tur
twn,twn
tza,tza
uga,uga
ukr,ukr
ury,ury
usa,usa
ven,ven
vnm,vnm
xac,xac
xca,xca
xcb,xcb
xcf,xcf
xea,xea
xec,xec
xee,xee
xef,xef
xer,xer
xna,xna
xnf,xnf
xoc,xoc
xsa,xsa
xsc,xsc
xse,xse
xsm,xsm
xsu,xsu
xtw,xtw
xwf,xwf
xws,xws
zaf,zaf
zmb,zmb
zwe,zwe
