H2,mapping
afs,afs
atp,atp
b_t,b_t
bph,bph
c_b,c_b
chm,chm
cmn,cmn
cmt,cmt
cns,cns
coa,coa
ctl,ctl
dwe,dwe
edu,edu
eeq,eeq
ele,ele
ely,ely
fmp,fmp
frs,frs
fsh,fsh
gas,gas
gdt,gdt
gro,gro
hht,hht
i_s,i_s
ins,ins
lea,lea
lum,lum
mil,mil
mvh,mvh
nfm,nfm
nmm,nmm
oap,oap
obs,obs
ocr,ocr
ofd,ofd
ofi,ofi
oil,oil
ome,ome
omf,omf
omt,omt
osd,osd
osg,osg
otn,otn
otp,otp
oxt,oxt
p_c,p_c
pcr,pcr
pdr,pdr
pfb,pfb
ppp,ppp
rmk,rmk
ros,ros
rpp,rpp
rsa,rsa
sgr,sgr
tex,tex
trd,trd
v_f,v_f
vol,vol
wap,wap
whs,whs
wht,wht
wol,wol
wtp,wtp
wtr,wtr
