ACTS,mapping
afs,svces
atp,svces
b_t,b_t
bph,mnfcs
c_b,c_b
chm,mnfcs
cmn,svces
cmt,cmt
cns,svces
coa,mnfcs
ctl,ctl
dwe,svces
edu,svces
eeq,mnfcs
ele,mnfcs
ely,mnfcs
fmp,mnfcs
frs,mnfcs
fsh,fsh
gas,mnfcs
gdt,mnfcs
gro,gro
hht,svces
i_s,mnfcs
ins,svces
lea,mnfcs
lum,mnfcs
mil,mil
mvh,mnfcs
nfm,mnfcs
nmm,mnfcs
oap,oap
obs,svces
ocr,ocr
ofd,ofd
ofi,svces
oil,mnfcs
ome,mnfcs
omf,mnfcs
omt,omt
osd,osd
osg,svces
otn,mnfcs
otp,svces
oxt,mnfcs
p_c,mnfcs
pcr,pcr
pdr,pdr
pfb,pfb
ppp,mnfcs
rmk,rmk
ros,svces
rpp,mnfcs
rsa,svces
sgr,sgr
tex,mnfcs
trd,svces
v_f,v_f
vol,vol
wap,mnfcs
whs,svces
wht,wht
wol,wol
wtp,svces
wtr,svces
