COMM,mapping
afs,trd
atp,tsp
b_t,b_t
bph,crp
c_b,c_b
chm,crp
cmn,cmn
cmt,cmt
cns,cns
coa,min
ctl,ctl
dwe,svs
edu,osg
eeq,eqm
ele,eqm
ely,utl
fmp,mmi
frs,frs
fsh,fsh
gas,min
gdt,utl
gro,gro
hht,osg
i_s,mmi
ins,fin
lea,twl
lum,wpp
mil,mil
mvh,mvo
nfm,mmi
nmm,nmm
oap,oap
obs,svs
ocr,ocr
ofd,ofd
ofi,fin
oil,min
ome,eqm
omf,omf
omt,omt
osd,osd
osg,osg
otn,mvo
otp,tsp
oxt,min
p_c,p_c
pcr,pcr
pdr,pdr
pfb,pfb
ppp,wpp
rmk,rmk
ros,svs
rpp,crp
rsa,svs
sgr,sgr
tex,twl
trd,trd
v_f,v_f
vol,vol
wap,twl
whs,svs
wht,wht
wol,wol
wtp,tsp
wtr,utl
