REG,mapping
alb,eca
are,mena
arg,lac
arm,eca
aus,eap
aut,eca
aze,eca
bel,eca
ben,ssa
bfa,ssa
bgd,sas
bgr,eca
bhr,mena
blr,eca
bol,lac
bra,lac
brn,eap
bwa,ssa
can,nam
che,eca
chl,lac
chn,eap
civ,ssa
cmr,ssa
col,lac
cri,lac
cyp,eca
cze,eca
deu,eca
dnk,eca
dom,lac
ecu,lac
egy,mena
esp,eca
est,eca
eth,ssa
fin,eca
fra,eca
gbr,eca
geo,eca
gha,ssa
gin,ssa
grc,eca
gtm,lac
hkg,eap
hnd,lac
hrv,eca
hun,eca
idn,eap
ind,sas
irl,eca
irn,mena
isr,mena
ita,eca
jam,lac
jor,mena
jpn,eap
kaz,eca
ken,ssa
kgz,eca
khm,eap
kor,eap
kwt,mena
lao,eap
lka,sas
ltu,eca
lux,eca
lva,eca
mar,mena
mdg,ssa
mex,lac
mlt,mena
mng,eap
moz,ssa
mus,ssa
mwi,ssa
mys,eap
nam,ssa
nga,ssa
nic,lac
nld,eca
nor,eca
npl,sas
nzl,eap
omn,mena
pak,sas
pan,lac
per,lac
phl,eap
pol,eca
pri,lac
prt,eca
pry,lac
qat,mena
rou,eca
rus,eca
rwa,ssa
sau,mena
sen,ssa
sgp,eap
slv,lac
svk,eca
svn,eca
swe,eca
tgo,ssa
tha,eap
tjk,eca
tto,lac
tun,mena
tur,eca
twn,eap
tza,ssa
uga,ssa
ukr,eca
ury,lac
usa,nam
ven,lac
vnm,eap
xac,ssa
xca,lac
xcb,lac
xcf,ssa
xea,eap
xec,ssa
xee,eca
xef,eca
xer,eca
xna,nam
xnf,mena
xoc,eap
xsa,sas
xsc,ssa
xse,eap
xsm,lac
xsu,eca
xtw,eap
xwf,ssa
xws,mena
zaf,ssa
zmb,ssa
zwe,ssa
