H1,mapping
afg,asia
alb,eit
are,maf
arg,lam
arm,eit
aus,oecd
aut,oecd
aze,eit
bel,oecd
ben,maf
bfa,maf
bgd,asia
bgr,eit
bhr,maf
blr,eit
bol,lam
bra,lam
brn,asia
bwa,maf
caf,maf
can,oecd
che,oecd
chl,lam
chn,asia
civ,maf
cmr,maf
cod,maf
cog,maf
col,lam
com,maf
cri,lam
cyp,eit
cze,eit
deu,oecd
dnk,oecd
dom,lam
dza,maf
ecu,lam
egy,maf
esp,oecd
est,eit
eth,maf
fin,oecd
fra,oecd
gab,maf
gbr,oecd
geo,eit
gha,maf
gin,maf
gnq,maf
grc,oecd
gtm,lam
hkg,asia
hnd,lam
hrv,eit
hti,lam
hun,eit
idn,asia
ind,asia
irl,oecd
irn,maf
irq,maf
isr,maf
ita,oecd
jam,lam
jor,maf
jpn,oecd
kaz,eit
ken,maf
kgz,eit
khm,asia
kor,asia
kwt,maf
lao,asia
lbn,maf
lka,asia
ltu,eit
lux,oecd
lva,eit
mar,maf
mdg,maf
mex,lam
mli,maf
mlt,eit
mng,asia
moz,maf
mus,maf
mwi,maf
mys,maf
nam,maf
ner,maf
nga,maf
nic,lam
nld,oecd
nor,maf
npl,asia
nzl,oecd
omn,maf
pak,asia
pan,lam
per,lam
phl,asia
pol,eit
pri,lam
prt,oecd
pry,lam
pse,maf
qat,maf
rou,eit
rus,eit
rwa,maf
sau,maf
sdn,maf
sen,maf
sgp,asia
slv,lam
srb,eit
svk,eit
svn,eit
swe,oecd
swz,maf
syr,maf
tcd,maf
tgo,maf
tha,asia
tjk,eit
tto,lam
tun,maf
tur,oecd
twn,asia
tza,maf
uga,maf
ukr,eit
ury,lam
usa,oecd
uzb,eit
ven,lam
vnm,asia
xac,maf
xca,lam
xcb,lam
xea,asia
xec,maf
xee,eit
xef,oecd
xer,oecd
xna,oecd
xnf,maf
xoc,asia
xsa,asia
xsc,maf
xse,asia
xsm,lam
xsu,eit
xtw,lam
xwf,maf
xws,maf
zaf,maf
zmb,maf
zwe,maf
