ACTS,mapping
afs,afs
atp,atp
b_t,food
bph,mnfcs
c_b,crops
chm,mnfcs
cmn,cmn
cmt,food
cns,cns
coa,mnfcs
ctl,livestock
dwe,dwe
edu,edu
eeq,mnfcs
ele,mnfcs
ely,mnfcs
fmp,mnfcs
frs,mnfcs
fsh,food
gas,mnfcs
gdt,mnfcs
gro,grains
hht,hht
i_s,mnfcs
ins,ins
lea,mnfcs
lum,mnfcs
mil,food
mvh,mnfcs
nfm,mnfcs
nmm,mnfcs
oap,food
obs,obs
ocr,crops
ofd,food
ofi,ofi
oil,mnfcs
ome,mnfcs
omf,mnfcs
omt,food
osd,crops
osg,osg
otn,mnfcs
otp,otp
oxt,mnfcs
p_c,mnfcs
pcr,food
pdr,grains
pfb,crops
ppp,mnfcs
rmk,livestock
ros,ros
rpp,mnfcs
rsa,rsa
sgr,food
tex,mnfcs
trd,trd
v_f,crops
vol,food
wap,mnfcs
whs,whs
wht,grains
wol,livestock
wtp,wtp
wtr,wtr
