H1,mapping
alb,eeu
are,mea_h
arg,lam_m
arm,cas
aus,anuz
aut,eu15
aze,cas
bel,eu15
ben,ssa_l
bfa,ssa_l
bgd,oas_l
bgr,eu12_m
bhr,mea_h
blr,eeu_fsu
bol,lam_m
bra,bra
brn,oas_m
bwa,ssa_l
can,can_xna
che,efta
chl,lam_m
chn,chn_hkg_xea
civ,ssa_l
cmr,ssa_l
col,lam_m
cri,lam_m
cyp,eu12_h
cze,eu12_h
deu,eu15
dnk,eu15
dom,lam_m
ecu,lam_m
egy,naf
esp,eu15
est,eu12_h
eth,ssa_l
fin,eu15
fra,eu15
gbr,eu15
geo,cas
gha,ssa_l
gin,ssa_m
grc,eu15
gtm,lam_l
hkg,chn_hkg_xea
hnd,lam_l
hrv,eeu
hun,eu12_h
idn,idn
ind,ind
irl,eu15
irn,mea_m
isr,mea_h
ita,eu15
jam,lam_m
jor,mea_m
jpn,jpn
kaz,cas
ken,ssa_l
kgz,cas
khm,oas_cpa
kor,kor
kwt,mea_h
lao,oas_cpa
lka,oas_m
ltu,eu12_m
lux,eu15
lva,eu12_m
mar,naf
mdg,ssa_l
mex,mex
mlt,eu12_h
mng,oas_cpa
moz,ssa_l
mus,ssa_m
mwi,ssa_l
mys,oas_m
nam,ssa_l
nga,ssa_l
nic,lam_l
nld,eu15
nor,efta
npl,oas_l
nzl,anuz
omn,mea_h
pak,pak
pan,lam_m
per,lam_m
phl,oas_l
pol,eu12_h
pri,usa
prt,eu15
pry,lam_m
qat,mea_h
rou,eu12_m
rus,rus
rwa,ssa_l
sau,mea_h
sen,ssa_l
sgp,oas_m
slv,lam_m
svk,eu12_h
svn,eu12_h
swe,eu15
tgo,ssa_l
tha,oas_m
tto,lam_m
tun,naf
tur,tur
twn,twn
tza,ssa_l
uga,ssa_l
ukr,eeu_fsu
ury,lam_m
usa,usa
ven,lam_m
vnm,oas_cpa
xac,ssa_m
xca,lam_l
xcb,lam_m
xcf,ssa_l
xea,chn_hkg_xea
xec,ssa_l
xee,eeu_fsu
xef,efta
xer,eeu
xna,can_xna
xnf,naf
xoc,oas_l
xsa,pak
xsc,ssa_l
xse,oas_l
xsm,lam_m
xsu,cas
xtw,oas_l
xwf,ssa_l
xws,mea_m
zaf,zaf
zmb,ssa_l
zwe,ssa_l
