H1,mapping
alb,row
are,row
arg,row
arm,row
aus,row
aut,row
aze,row
bel,row
ben,row
bfa,row
bgd,row
bgr,row
bhr,row
blr,row
bol,row
bra,row
brn,row
bwa,row
can,row
che,row
chl,row
chn,chn
civ,row
cmr,row
col,row
cri,row
cyp,row
cze,row
deu,row
dnk,row
dom,row
ecu,row
egy,row
esp,row
est,row
eth,row
fin,row
fra,row
gbr,row
geo,row
gha,row
gin,row
grc,row
gtm,row
hkg,row
hnd,row
hrv,row
hun,row
idn,row
ind,row
irl,row
irn,row
isr,row
ita,row
jam,row
jor,row
jpn,row
kaz,row
ken,row
kgz,row
khm,row
kor,row
kwt,row
lao,row
lka,row
ltu,row
lux,row
lva,row
mar,row
mdg,row
mex,row
mlt,row
mng,row
moz,row
mus,row
mwi,row
mys,row
nam,row
nga,row
nic,row
nld,row
nor,row
npl,row
nzl,row
omn,row
pak,row
pan,row
per,row
phl,row
pol,row
pri,row
prt,row
pry,row
qat,row
rou,row
rus,row
rwa,row
sau,row
sen,row
sgp,row
slv,row
svk,row
svn,row
swe,row
tgo,row
tha,row
tto,row
tun,row
tur,row
twn,row
tza,row
uga,row
ukr,row
ury,row
usa,usa
ven,row
vnm,row
xac,row
xca,row
xcb,row
xcf,row
xea,row
xec,row
xee,row
xef,row
xer,row
xna,row
xnf,row
xoc,row
xsa,row
xsc,row
xse,row
xsm,row
xsu,row
xtw,row
xwf,row
xws,row
zaf,row
zmb,row
zwe,row
