H1,mapping
alb,alb
are,pet
arg,arg
arm,cau
aus,aus
aut,aut
aze,cau
bel,bel
ben,ben
bfa,bfa
bgd,bgd
bgr,bgr
bhr,pet
blr,blr
bol,bol
bra,bra
brn,mys_brn
bwa,bwa
can,can
che,che
chl,chl
chn,chn_hkg_xea
civ,civ
cmr,cmr
col,col
cri,cri
cyp,cyp
cze,cze
deu,deu
dnk,dnk
dom,car
ecu,ecu
egy,egy
esp,esp
est,est
eth,eth
fin,fin
fra,fra
gbr,gbr
geo,cau
gha,gha
gin,gin
grc,grc
gtm,gtm_blz
hkg,chn_hkg_xea
hnd,hnd
hrv,hrv
hun,hun
idn,idn
ind,ind
irl,irl
irn,irn
isr,isr
ita,ita
jam,car
jor,jor
jpn,jpn
kaz,kaz
ken,ken
kgz,xsu
khm,xse
kor,kor
kwt,kwt
lao,xse
lka,xsa
ltu,ltu
lux,lux
lva,lva
mar,mar_xwf
mdg,mdg
mex,mex
mlt,mlt
mng,mng
moz,moz
mus,mus
mwi,mwi
mys,mys_brn
nam,nam
nga,nga
nic,nic
nld,nld
nor,nor
npl,xsa
nzl,nzl
omn,xws
pak,pak
pan,pan
per,per
phl,phl
pol,pol
pri,usa_pri
prt,prt
pry,pry
qat,pet
rou,rou
rus,rus
rwa,rwa
sau,sau
sen,sen
sgp,sgp
slv,slv
svk,svk
svn,svn
swe,swe
tgo,tgo
tha,tha
tto,car
tun,tun
tur,tur
twn,twn
tza,tza
uga,uga
ukr,ukr
ury,ury
usa,usa_pri
ven,ven
vnm,vnm
xac,xac
xca,gtm_blz
xcb,car
xcf,xcf
xea,chn_hkg_xea
xec,xec
xee,xee
xef,xef
xer,xer
xna,xna_xtw
xnf,xnf
xoc,xoc
xsa,xsa
xsc,zaf_xsc
xse,xse
xsm,car
xsu,xsu
xtw,xna_xtw
xwf,mar_xwf
xws,xws
zaf,zaf_xsc
zmb,zmb
zwe,zwe
