ACTS,mapping
atp,svces
b_t,food
c_b,crops
cmn,svces
cmt,food
cns,svces
coa,coa
crp,crp
ctl,livestock
dwe,svces
ele,ele
ely,ely
fmp,fmp
frs,frs
fsh,food
gas,gas
gdt,gdt
gro,crops
i_s,i_s
isr,svces
lea,lea
lum,lum
mil,food
mvh,mvh
nfm,nfm
nmm,nmm
oap,food
obs,svces
ocr,crops
ofd,food
ofi,svces
oil,oil
ome,ome
omf,omf
omn,omn
omt,food
osd,crops
osg,svces
otn,otn
otp,svces
p_c,p_c
pcr,food
pdr,crops
pfb,crops
ppp,ppp
rmk,livestock
ros,svces
sgr,food
tex,tex
trd,svces
v_f,crops
vol,food
wap,wap
wht,crops
wol,livestock
wtp,svces
wtr,svces
