COMM,mapping
atp,svces
b_t,b_t
c_b,c_b
cmn,svces
cmt,cmt
cns,svces
coa,mnfcs
crp,mnfcs
ctl,ctl
dwe,svces
ele,mnfcs
ely,mnfcs
fmp,mnfcs
frs,frs
fsh,fsh
gas,mnfcs
gdt,mnfcs
gro,gro
i_s,mnfcs
isr,svces
lea,mnfcs
lum,mnfcs
mil,mil
mvh,mnfcs
nfm,mnfcs
nmm,mnfcs
oap,oap
obs,svces
ocr,ocr
ofd,ofd
ofi,svces
oil,mnfcs
ome,mnfcs
omf,mnfcs
omn,mnfcs
omt,omt
osd,osd
osg,svces
otn,mnfcs
otp,svces
p_c,mnfcs
pcr,pcr
pdr,pdr
pfb,pfb
ppp,mnfcs
rmk,rmk
ros,svces
sgr,sgr
tex,mnfcs
trd,svces
v_f,v_f
vol,vol
wap,mnfcs
wht,wht
wol,wol
wtp,svces
wtr,svces
