COMM,mapping
atp,atp
b_t,food
c_b,crops
cmn,svces
cmt,food
cns,svces
coa,coa
crp,crp
ctl,ctl
dwe,svces
ele,mnfcs
ely,ely
fmp,mnfcs
frs,frs
fsh,food
gas,gas
gdt,gdt
gro,crops
i_s,i_s
isr,svces
lea,mnfcs
lum,mnfcs
mil,food
mvh,mnfcs
nfm,nfm
nmm,nmm
oap,livestock
obs,svces
ocr,crops
ofd,food
ofi,svces
oil,oil
ome,mnfcs
omf,mnfcs
omn,omn
omt,food
osd,crops
osg,svces
otn,mnfcs
otp,otp
p_c,p_c
pcr,food
pdr,crops
pfb,crops
ppp,mnfcs
rmk,rmk
ros,svces
sgr,food
tex,mnfcs
trd,svces
v_f,crops
vol,food
wap,mnfcs
wht,crops
wol,livestock
wtp,wtp
wtr,wtr
