REG,mapping
alb,balkan
are,pet
arg,arg
arm,cau
aus,aus
aut,aut
aze,cau
bel,benelux
ben,ben
bfa,bfa
bgd,bgd
bgr,bgr
bhr,pet
blr,rus
bol,bol
bra,bra
brn,brn_mys
bwa,bwa
can,can
che,che
chl,chl
chn,chn
civ,civ
cmr,cmr
col,col_ecu_pan
cri,cri
cyp,tur_cyp
cze,cze_svk
deu,deu
dnk,dnk
dom,car
ecu,col_ecu_pan
egy,egy
esp,esp
est,baltics
eth,eth
fin,fin
fra,fra
gbr,gbr
geo,cau
gha,gha
gin,gin
grc,grc
gtm,blz_gtm
hkg,eAsia
hnd,hnd_nic_slv
hrv,balkan
hun,hun
idn,idn
ind,ind
irl,irl
irn,irn
isr,isr
ita,ita
jam,car
jor,xws
jpn,jpn
kaz,kaz
ken,ken
kgz,xsu
khm,xse
kor,kor
kwt,pet
lao,xse
lka,xsa
ltu,baltics
lux,benelux
lva,baltics
mar,mar_xwf
mdg,mdg
mex,mex
mlt,mlt
mng,eAsia
moz,moz
mus,mus
mwi,mwi
mys,brn_mys
nam,nam
nga,nga
nic,hnd_nic_slv
nld,benelux
nor,nor_xef
npl,xsa
nzl,nzl
omn,xws
pak,pak
pan,col_ecu_pan
per,per
phl,phl
pol,pol
pri,usa
prt,prt
pry,pry
qat,pet
rou,rou
rus,rus
rwa,rwa
sau,pet
sen,sen
sgp,sgp
slv,hnd_nic_slv
svk,cze_svk
svn,balkan
swe,swe
tgo,tgo
tha,tha
tto,car
tun,tun
tur,tur_cyp
twn,twn
tza,tza
uga,uga
ukr,ukr
ury,ury
usa,usa
ven,ven
vnm,vnm
xac,xac
xca,blz_gtm
xcb,car
xcf,xcf
xea,eAsia
xec,xec
xee,xee
xef,nor_xef
xer,balkan
xna,xtw_xna
xnf,xnf
xoc,xoc
xsa,xsa
xsc,zaf
xse,xse
xsm,car
xsu,xsu
xtw,xtw_xna
xwf,mar_xwf
xws,xws
zaf,zaf
zmb,zmb
zwe,zwe
