H1,mapping
afg,pak_afg
alb,balkan
are,pet
arg,arg
arm,cau
aus,aus
aut,aut
aze,cau
bel,benelux
ben,ben
bfa,bfa
bgd,bgd
bgr,bgr
bhr,pet
blr,rus
bol,bol
bra,bra
brn,brn_mys
bwa,bwa
caf,caf_cod_cog
can,can
che,che
chl,chl
chn,chn
civ,civ
cmr,cmr
cod,caf_cod_cog
cog,caf_cod_cog
col,col_ecu_pan
com,mdg_com
cri,cri
cyp,tur_cyp
cze,cze_svk
deu,deu
dnk,dnk
dom,car
dza,dza_mar_xwf
ecu,col_ecu_pan
egy,egy
esp,esp
est,baltics
eth,eth
fin,fin
fra,fra
gab,gab_gnq
gbr,gbr
geo,cau
gha,gha
gin,gin
gnq,gab_gnq
grc,grc
gtm,blz_gtm
hkg,eAsia
hnd,hnd_nic_slv
hrv,balkan
hti,car
hun,hun
idn,idn
ind,ind
irl,irl
irn,irn
irq,irq_syr_pse
isr,isr
ita,ita
jam,car
jor,xws
jpn,jpn
kaz,kaz
ken,ken
kgz,xsu
khm,xse
kor,kor
kwt,pet
lao,xse
lbn,xws
lka,xsa
ltu,baltics
lux,benelux
lva,baltics
mar,dza_mar_xwf
mdg,mdg_com
mex,mex
mli,xwf
mlt,mlt
mng,eAsia
moz,moz
mus,mus
mwi,mwi
mys,brn_mys
nam,nam
ner,sdn_tcd_ner
nga,nga
nic,hnd_nic_slv
nld,benelux
nor,nor_xef
npl,xsa
nzl,nzl
omn,xws
pak,pak_afg
pan,col_ecu_pan
per,per
phl,phl
pol,pol
pri,usa
prt,prt
pry,pry
pse,irq_syr_pse
qat,pet
rou,rou
rus,rus
rwa,rwa
sau,pet
sdn,sdn_tcd_ner
sen,sen
sgp,sgp
slv,hnd_nic_slv
srb,balkan
svk,cze_svk
svn,balkan
swe,swe
swz,zaf_swz_xsc
syr,irq_syr_pse
tcd,sdn_tcd_ner
tgo,tgo
tha,tha
tjk,xsu
tto,car
tun,tun
tur,tur_cyp
twn,twn
tza,tza
uga,uga
ukr,ukr
ury,ury
usa,usa
uzb,xsu
ven,ven
vnm,vnm
xac,xac
xca,blz_gtm
xcb,car
xea,eAsia
xec,xec
xee,xee
xef,nor_xef
xer,balkan
xna,xtw_xna
xnf,xnf
xoc,xoc
xsa,xsa
xsc,zaf_swz_xsc
xse,xse
xsm,car
xsu,xsu
xtw,xtw_xna
xwf,dza_mar_xwf
xws,xws
zaf,zaf_swz_xsc
zmb,zmb
zwe,zwe
